time,open,high,low,close,Volume,Volume MA
2010-06-01T13:30:00Z,1.266665,2.027945,1.169331,1.588665,539665738,NaN
2010-07-01T13:30:00Z,1.666665,1.727998,0.998666,1.329332,969509175,NaN
2010-08-02T13:30:00Z,1.366665,1.478665,1.159332,1.298665,225755405,NaN
2010-09-01T13:30:00Z,1.307999,1.543998,1.299999,1.360332,270733940,NaN
2010-10-01T13:30:00Z,1.379332,1.457999,1.333332,1.455999,98288217,NaN
2010-11-01T13:30:00Z,1.462665,2.399998,1.403332,2.355331,424841260,NaN
2010-12-01T14:30:00Z,2.391331,2.427998,1.666665,1.775332,553523598,NaN
2011-01-03T14:30:00Z,1.789332,1.913999,1.491332,1.606666,426453701,NaN
2011-02-01T14:30:00Z,1.620665,1.699332,1.407332,1.592665,439757800,NaN
2011-03-01T14:30:00Z,1.603332,1.913999,1.451332,1.849998,488517939,NaN
2011-04-01T13:30:00Z,1.829998,1.878664,1.613332,1.839999,448753039,NaN
2011-05-02T13:30:00Z,1.839999,2.018665,1.701332,2.009331,455303874,NaN
2011-06-01T13:30:00Z,1.999998,2.099998,1.699998,1.941998,596006206,NaN
2011-07-01T13:30:00Z,1.937999,2.029331,1.775332,1.877998,316583840,NaN
2011-08-01T13:30:00Z,1.911331,1.946665,1.433332,1.649332,408360025,NaN
2011-09-01T13:30:00Z,1.643998,1.799332,1.485998,1.625998,270326855,NaN
2011-10-03T13:30:00Z,1.663332,1.999998,1.528664,1.957998,324949364,NaN
2011-11-01T13:30:00Z,1.892665,2.333331,1.866665,2.182665,387831992,NaN
2011-12-01T14:30:00Z,2.171332,2.333331,1.735332,1.903998,316944007,NaN
2012-01-03T14:30:00Z,1.929331,1.999998,1.509332,1.937999,384243193,417317458.4
2012-02-01T14:30:00Z,1.937999,2.331331,1.933331,2.227331,347961011,407732222.05
2012-03-01T14:30:00Z,2.233997,2.663331,2.174664,2.482665,332478983,375880712.45
2012-04-02T13:30:00Z,2.488664,2.564637,2.066665,2.208664,341426236,381664254
2012-05-01T13:30:00Z,2.208664,2.311997,1.788665,1.966665,512782972,393766705.6
2012-06-01T13:30:00Z,1.901998,2.299998,1.807332,2.085997,391993251,408451957.3
2012-07-02T13:30:00Z,2.089999,2.399998,1.813999,1.827998,488211536,411620471.1
2012-08-01T13:30:00Z,1.865999,2.086665,1.701332,1.901331,367227611,402305671.75
2012-09-04T13:30:00Z,1.901331,2.185331,1.819665,1.951998,499536567,405959815.05
2012-10-01T13:30:00Z,1.966665,2.006665,1.790665,1.875424,264385636,397191206.85
2012-11-01T13:30:00Z,1.883331,2.285997,1.879998,2.254665,356457914,390588205.6
2012-12-03T14:30:00Z,2.259331,2.386664,2.183331,2.257998,325739429,384437525.1
2013-01-02T14:30:00Z,2.333331,2.580665,2.140665,2.500663,426956801,383020171.45
2013-02-01T14:30:00Z,2.544664,2.666664,2.253331,2.321998,663897863,386414754.3
2013-03-01T14:30:00Z,2.333331,2.632665,2.283331,2.525997,444986342,392834879.4
2013-04-01T13:30:00Z,2.823997,3.878662,2.680697,3.59933,1223574297,433595593
2013-05-01T13:30:00Z,3.732664,7.659992,3.53333,6.517326,4969221850,668540342.75
2013-06-03T13:30:00Z,6.507993,7.349993,5.883327,7.157326,2688049957,786695372.4
