time,open,high,low,close,Volume,Volume MA
2021-10-12T13:30:00Z,143.23,143.25,141.0401,141.51,73035859,81851846.45
2021-10-13T13:30:00Z,141.235,141.4,139.2,140.91,78762721,81625916.75
2021-10-14T13:30:00Z,142.11,143.88,141.51,143.76,69907100,81719564.3
2021-10-15T13:30:00Z,143.77,144.895,143.51,144.84,67940334,78623139.8
2021-10-18T13:30:00Z,143.445,146.84,143.16,146.55,85589175,76728655.4
2021-10-19T13:30:00Z,147.01,149.17,146.55,148.76,76378894,76755902
2021-10-20T13:30:00Z,148.7,149.7539,148.12,149.26,58418788,75856624.35
2021-10-21T13:30:00Z,148.81,149.64,147.87,149.48,61420990,75685765.35
2021-10-22T13:30:00Z,149.69,150.18,148.64,148.69,58883443,75956044.05
2021-10-25T13:30:00Z,148.68,149.37,147.6211,148.64,50720556,74784535.4
2021-10-26T13:30:00Z,149.33,150.84,149.0101,149.32,60893395,72380588.15
2021-10-27T13:30:00Z,149.36,149.73,148.49,148.85,56094929,71455232.4
2021-10-28T13:30:00Z,149.82,153.165,149.72,152.57,100077888,72006293.6
2021-10-29T13:30:00Z,147.215,149.94,146.4128,149.8,124953168,73521972.95
2021-11-01T13:30:00Z,148.985,149.7,147.8,148.96,74588258,72335285.45
2021-11-02T13:30:00Z,148.66,151.57,148.65,150.02,69121987,71748331.7
2021-11-03T13:30:00Z,150.39,151.97,149.82,151.49,54511534,70312852.45
2021-11-04T13:30:00Z,151.58,152.43,150.64,150.96,60394616,70245950.45
2021-11-05T13:30:00Z,151.89,152.2,150.06,151.28,65463883,70580486.85
2021-11-08T14:30:00Z,151.41,151.57,150.16,150.44,55020868,70108919.3
2021-11-09T14:30:00Z,150.2,151.428,150.0601,150.81,56787930,69296522.85
2021-11-10T14:30:00Z,150.02,150.13,147.85,147.92,65187092,68617741.4
2021-11-11T14:30:00Z,148.96,149.43,147.681,147.87,40999950,67172383.9
2021-11-12T14:30:00Z,148.43,150.4,147.48,149.99,63804008,66965567.6
2021-11-15T14:30:00Z,150.37,151.88,149.43,150,59222803,65647249
2021-11-16T14:30:00Z,149.94,151.488,149.34,151,59256210,64791114.8
2021-11-17T14:30:00Z,150.995,155,150.99,153.49,88807000,66310525.4
2021-11-18T14:30:00Z,153.71,158.67,153.05,157.87,137827673,70130859.55
2021-11-19T14:30:00Z,157.65,161.02,156.5328,160.55,117305597,73051967.25
2021-11-22T14:30:00Z,161.68,165.7,161,161.02,117467889,76389333.9
2021-11-23T14:30:00Z,161.12,161.8,159.0601,161.41,96041899,78146759.1
2021-11-24T14:30:00Z,160.75,162.14,159.64,161.94,69463623,78815193.8
2021-11-26T14:30:00Z,159.565,160.45,156.36,156.81,76959752,77659287
2021-11-29T14:30:00Z,159.37,161.19,158.7901,160.24,88748217,75849039.45
2021-11-30T14:30:00Z,159.985,165.52,159.92,165.3,174048056,80822029.35
2021-12-01T14:30:00Z,167.48,170.3,164.53,164.77,152423003,84987080.15
2021-12-02T14:30:00Z,158.735,164.2,157.8,163.76,136739174,89098462.15
2021-12-03T14:30:00Z,164.02,164.96,159.72,161.84,118023116,91979887.15
2021-12-06T14:30:00Z,164.29,167.8799,164.28,165.32,107496982,94081542.1
2021-12-07T14:30:00Z,169.08,171.58,168.34,171.18,120405352,97350766.3
2021-12-08T14:30:00Z,172.125,175.96,170.7,175.08,116998901,100361314.85
2021-12-09T14:30:00Z,174.91,176.75,173.92,174.56,108923739,102548147.2
2021-12-10T14:30:00Z,175.205,179.63,174.69,179.45,115402731,106268286.25
2021-12-13T14:30:00Z,181.115,182.13,175.53,175.74,153237019,110739936.8
2021-12-14T14:30:00Z,175.25,177.74,172.21,174.33,139380382,114747815.75
2021-12-15T14:30:00Z,175.11,179.5,172.3108,179.3,131063257,118338168.1
2021-12-16T14:30:00Z,179.28,181.14,170.75,172.26,150185843,121407110.25
2021-12-17T14:30:00Z,169.93,173.47,169.69,171.14,195923441,124311898.65
2021-12-20T14:30:00Z,168.28,170.58,167.46,169.75,107499114,123821574.5
2021-12-21T14:30:00Z,171.555,173.2,169.12,172.99,91185905,122507475.3
